query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_product,n_review,oracle_cost,method
query_5_2.graph,1,0.7,326,792.7200000000001,791.2738397328883,0.0018243014773335472,249,43,292,Exact_structureO
query_5_2.graph,2,0.7,326,792.7200000000001,896.6063723608445,0.13105052523065436,249,37,286,Exact_structureO
query_5_2.graph,3,0.7,326,792.7200000000001,590.2928571428573,0.2553576834911984,251,38,289,Exact_structureO
query_5_2.graph,4,0.7,326,792.7200000000001,580.6964233576645,0.2674633876303558,248,41,289,Exact_structureO
query_5_2.graph,5,0.7,326,792.7200000000001,811.2527097902097,0.023378632796207405,248,43,291,Exact_structureO
query_5_2.graph,1,0.8,373,792.7200000000001,826.0116410861866,0.041996721523597826,280,47,327,Exact_structureO
query_5_2.graph,2,0.8,373,792.7200000000001,950.5636849925708,0.19911656700041702,278,46,324,Exact_structureO
query_5_2.graph,3,0.8,373,792.7200000000001,572.4493213828428,0.27786693740180307,278,44,322,Exact_structureO
query_5_2.graph,4,0.8,373,792.7200000000001,550.1909029649597,0.3059454751173685,279,45,324,Exact_structureO
query_5_2.graph,5,0.8,373,792.7200000000001,875.2071879106438,0.10405589351933049,279,49,328,Exact_structureO
query_5_2.graph,1,0.9,420,792.7200000000001,786.991627118644,0.00722622474689185,304,50,354,Exact_structureO
query_5_2.graph,2,0.9,420,792.7200000000001,967.3280130293161,0.22026442253168327,304,51,355,Exact_structureO
query_5_2.graph,3,0.9,420,792.7200000000001,647.4602479338845,0.18324219404848574,304,51,355,Exact_structureO
query_5_2.graph,4,0.9,420,792.7200000000001,626.7278299120237,0.20939571360376477,305,51,356,Exact_structureO
query_5_2.graph,5,0.9,420,792.7200000000001,848.6113855421686,0.07050583502645126,303,54,357,Exact_structureO
query_5_101.graph,1,0.01,4,1147.1999999999998,2806.275,1.4461950836820088,4,1,5,Exact_structureO
query_5_101.graph,2,0.01,4,1147.1999999999998,0.0,1.0,4,0,4,Exact_structureO
query_5_101.graph,3,0.01,4,1147.1999999999998,1505.9025,0.3126765167364018,4,1,5,Exact_structureO
query_5_101.graph,4,0.01,4,1147.1999999999998,2081.65,0.814548465829847,4,1,5,Exact_structureO
query_5_101.graph,5,0.01,4,1147.1999999999998,4820.7325,3.2021726813110187,4,2,6,Exact_structureO
query_5_101.graph,1,0.05,24,1147.1999999999998,1426.4836000000003,0.24344804741980516,25,3,28,Exact_structureO
query_5_101.graph,2,0.05,24,1147.1999999999998,881.9872,0.23118270571827043,24,2,26,Exact_structureO
query_5_101.graph,3,0.05,24,1147.1999999999998,207.71068965517242,0.8189411701053239,27,2,29,Exact_structureO
query_5_101.graph,4,0.05,24,1147.1999999999998,1520.0185714285715,0.3249813209802752,26,4,30,Exact_structureO
query_5_101.graph,5,0.05,24,1147.1999999999998,3152.0923999999995,1.7476398186889819,24,7,31,Exact_structureO
query_5_101.graph,1,0.075,37,1147.1999999999998,1991.6327027027023,0.7360815051453126,37,5,42,Exact_structureO
query_5_101.graph,2,0.075,37,1147.1999999999998,1388.9513953488372,0.21073169050630877,39,5,44,Exact_structureO
query_5_101.graph,3,0.075,37,1147.1999999999998,1701.952926829268,0.4835712402626119,37,6,43,Exact_structureO
query_5_101.graph,4,0.075,37,1147.1999999999998,989.779534883721,0.13722146540819286,39,4,43,Exact_structureO
query_5_101.graph,5,0.075,37,1147.1999999999998,2204.7116216216214,0.9218197538542727,36,8,44,Exact_structureO
query_5_101.graph,1,0.1,49,1147.1999999999998,1633.4274137931034,0.42383840114461613,53,7,60,Exact_structureO
query_5_101.graph,2,0.1,49,1147.1999999999998,1148.5559615384616,0.0011819748417553784,47,5,52,Exact_structureO
query_5_101.graph,3,0.1,49,1147.1999999999998,1838.750909090909,0.6028163433498164,49,9,58,Exact_structureO
query_5_101.graph,4,0.1,49,1147.1999999999998,1534.6239999999998,0.3377126917712692,50,7,57,Exact_structureO
query_5_101.graph,5,0.1,49,1147.1999999999998,2083.575576923077,0.8162269673318315,46,9,55,Exact_structureO
query_5_101.graph,1,0.125,62,1147.1999999999998,2055.765,0.7919848326359834,59,8,67,Exact_structureO
query_5_101.graph,2,0.125,62,1147.1999999999998,1370.128783783784,0.19432425364695277,63,7,70,Exact_structureO
query_5_101.graph,3,0.125,62,1147.1999999999998,1465.6710144927536,0.27760723020637534,63,9,72,Exact_structureO
query_5_101.graph,4,0.125,62,1147.1999999999998,1547.48609375,0.34892441923814527,58,8,66,Exact_structureO
query_5_101.graph,5,0.125,62,1147.1999999999998,1464.134189189189,0.27626759866561135,58,9,67,Exact_structureO
query_5_101.graph,1,0.15,74,1147.1999999999998,2135.7978021978024,0.8617484328781405,74,10,84,Exact_structureO
query_5_101.graph,2,0.15,74,1147.1999999999998,1254.9584337349397,0.09393168909949434,70,8,78,Exact_structureO
query_5_101.graph,3,0.15,74,1147.1999999999998,1437.249638554217,0.25283266959049616,74,11,85,Exact_structureO
query_5_101.graph,4,0.15,74,1147.1999999999998,1803.4193975903613,0.5720183033388787,73,11,84,Exact_structureO
query_5_101.graph,5,0.15,74,1147.1999999999998,1165.01,0.015524755927475747,72,9,81,Exact_structureO
query_5_101.graph,1,0.2,99,1147.1999999999998,1606.2611570247934,0.40015791232984105,93,12,105,Exact_structureO
query_5_101.graph,2,0.2,99,1147.1999999999998,1000.0146341463415,0.1282996564275265,95,11,106,Exact_structureO
query_5_101.graph,3,0.2,99,1147.1999999999998,1507.3650458715597,0.3139513998183054,91,15,106,Exact_structureO
query_5_101.graph,4,0.2,99,1147.1999999999998,1443.2203603603605,0.2580372736753493,93,12,105,Exact_structureO
query_5_101.graph,5,0.2,99,1147.1999999999998,970.1630833333332,0.15432088272896322,92,13,105,Exact_structureO
query_5_101.graph,1,0.3,149,1147.1999999999998,1517.2158152173913,0.3225381931811293,135,18,153,Exact_structureO
query_5_101.graph,2,0.3,149,1147.1999999999998,930.955690607735,0.18849748029311786,131,19,150,Exact_structureO
query_5_101.graph,3,0.3,149,1147.1999999999998,1456.4962500000004,0.2696097018828457,132,23,155,Exact_structureO
query_5_101.graph,4,0.3,149,1147.1999999999998,1192.7669613259668,0.03972015457284431,130,17,147,Exact_structureO
query_5_101.graph,5,0.3,149,1147.1999999999998,1192.2137569060772,0.039237933146859603,128,21,149,Exact_structureO
query_5_101.graph,1,0.4,199,1147.1999999999998,1407.9922568093384,0.2273293730904277,171,26,197,Exact_structureO
query_5_101.graph,2,0.4,199,1147.1999999999998,803.1780071174378,0.2998797009087884,169,20,189,Exact_structureO
query_5_101.graph,3,0.4,199,1147.1999999999998,1120.45702811245,0.023311516638380284,165,25,190,Exact_structureO
query_5_101.graph,4,0.4,199,1147.1999999999998,1301.6515328467156,0.13463348400166994,167,32,199,Exact_structureO
query_5_101.graph,5,0.4,199,1147.1999999999998,1290.4661068702292,0.12488328702077177,170,27,197,Exact_structureO
query_5_101.graph,1,0.5,249,1147.1999999999998,1322.8992370572205,0.15315484401780047,207,32,239,Exact_structureO
