query_basename,run_id,budget_frac,budget_n,T_true,T_hat,Qerror,n_product,n_review,oracle_cost,method
query_5_11.graph,4,0.01,4,103.59999999999998,0.0,1.0,3,0,3,Exact_structureO
query_5_11.graph,5,0.01,4,103.59999999999998,0.0,1.0,4,0,4,Exact_structureO
query_5_11.graph,1,0.05,23,103.59999999999998,179.5478260869565,0.7330871243914723,21,5,26,Exact_structureO
query_5_11.graph,2,0.05,23,103.59999999999998,159.61599999999999,0.5406949806949809,24,4,28,Exact_structureO
query_5_11.graph,3,0.05,23,103.59999999999998,0.0,1.0,26,3,29,Exact_structureO
query_5_11.graph,4,0.05,23,103.59999999999998,0.0,1.0,23,3,26,Exact_structureO
query_5_11.graph,5,0.05,23,103.59999999999998,101.63809523809522,0.01893730465159037,21,3,24,Exact_structureO
query_5_11.graph,1,0.075,34,103.59999999999998,159.425641025641,0.538857538857539,34,7,41,Exact_structureO
query_5_11.graph,2,0.075,34,103.59999999999998,105.01052631578946,0.013615118878276862,35,6,41,Exact_structureO
query_5_11.graph,3,0.075,34,103.59999999999998,0.0,1.0,33,3,36,Exact_structureO
query_5_11.graph,4,0.075,34,103.59999999999998,57.64848484848484,0.4435474435474435,33,5,38,Exact_structureO
query_5_11.graph,5,0.075,34,103.59999999999998,59.28888888888888,0.42771342771342774,35,3,38,Exact_structureO
query_5_11.graph,1,0.1,46,103.59999999999998,117.3132075471698,0.1323668682159249,46,7,53,Exact_structureO
query_5_11.graph,2,0.1,46,103.59999999999998,133.01333333333332,0.283912483912484,42,10,52,Exact_structureO
query_5_11.graph,3,0.1,46,103.59999999999998,41.04615384615384,0.6038016038016037,47,7,54,Exact_structureO
query_5_11.graph,4,0.1,46,103.59999999999998,35.89433962264151,0.6535295403219931,47,7,54,Exact_structureO
query_5_11.graph,5,0.1,46,103.59999999999998,87.96666666666665,0.15090090090090086,46,7,53,Exact_structureO
query_5_11.graph,1,0.125,58,103.59999999999998,94.2060606060606,0.09067509067509053,57,7,64,Exact_structureO
query_5_11.graph,2,0.125,58,103.59999999999998,96.54193548387096,0.06812803586997127,57,10,67,Exact_structureO
query_5_11.graph,3,0.125,58,103.59999999999998,132.27462686567165,0.27678211260300845,58,13,71,Exact_structureO
query_5_11.graph,4,0.125,58,103.59999999999998,98.12459016393441,0.05285144629406918,54,13,67,Exact_structureO
query_5_11.graph,5,0.125,58,103.59999999999998,131.22500000000002,0.2666505791505796,59,11,70,Exact_structureO
query_5_11.graph,1,0.15,69,103.59999999999998,111.1157894736842,0.0725462304409674,65,9,74,Exact_structureO
query_5_11.graph,2,0.15,69,103.59999999999998,85.50857142857141,0.17462768891340316,63,10,73,Exact_structureO
query_5_11.graph,3,0.15,69,103.59999999999998,113.62051282051284,0.09672309672309715,66,13,79,Exact_structureO
query_5_11.graph,4,0.15,69,103.59999999999998,106.41066666666666,0.027129987129987234,66,15,81,Exact_structureO
query_5_11.graph,5,0.15,69,103.59999999999998,106.30886075949368,0.026147304628317602,71,12,83,Exact_structureO
query_5_11.graph,1,0.2,92,103.59999999999998,105.32799999999999,0.016679536679536765,86,16,102,Exact_structureO
query_5_11.graph,2,0.2,92,103.59999999999998,56.46792452830188,0.45494281343337944,88,13,101,Exact_structureO
query_5_11.graph,3,0.2,92,103.59999999999998,161.9063829787234,0.5628029245050524,80,20,100,Exact_structureO
query_5_11.graph,4,0.2,92,103.59999999999998,96.8153846153846,0.06548856548856544,89,20,109,Exact_structureO
query_5_11.graph,5,0.2,92,103.59999999999998,81.53786407766992,0.21295497994527085,85,12,97,Exact_structureO
query_5_11.graph,1,0.3,139,103.59999999999998,117.74000000000001,0.13648648648648679,128,26,154,Exact_structureO
query_5_11.graph,2,0.3,139,103.59999999999998,87.39141104294477,0.15645356136153682,130,25,155,Exact_structureO
query_5_11.graph,3,0.3,139,103.59999999999998,150.7261146496815,0.45488527654132754,121,29,150,Exact_structureO
query_5_11.graph,4,0.3,139,103.59999999999998,99.74421768707484,0.03721797599348595,122,28,150,Exact_structureO
query_5_11.graph,5,0.3,139,103.59999999999998,80.8759776536313,0.2193438450421688,130,20,150,Exact_structureO
query_5_11.graph,1,0.4,185,103.59999999999998,104.18909090909091,0.005686205686205865,159,30,189,Exact_structureO
query_5_11.graph,2,0.4,185,103.59999999999998,115.12452830188678,0.11124062067458307,156,31,187,Exact_structureO
query_5_11.graph,3,0.4,185,103.59999999999998,118.74015748031493,0.14614051621925633,161,34,195,Exact_structureO
query_5_11.graph,4,0.4,185,103.59999999999998,119.37268722466958,0.152246015682139,159,37,196,Exact_structureO
query_5_11.graph,5,0.4,185,103.59999999999998,111.44285714285715,0.07570325427468312,160,27,187,Exact_structureO
query_5_11.graph,1,0.5,232,103.59999999999998,110.2,0.06370656370656394,187,43,230,Exact_structureO
query_5_11.graph,2,0.5,232,103.59999999999998,129.5120879120879,0.25011667868810744,184,41,225,Exact_structureO
