query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post,trials
query_cycle_8_262.graph,Importance,1157959.0,1585214.1157265082,0.3689725765130788,0.3689725765130788,0.003797208538587849,209,19488
query_cycle_8_264.graph,Uniform,634306.0,261209.0915,-0.5881970350272582,0.5881970350272582,0.000175,95,40000
query_cycle_8_264.graph,Importance,634306.0,1532557.9519514139,1.416117697060116,1.416117697060116,0.000675,96,40000
query_cycle_8_265.graph,Uniform,2416537.0,136847.18162763145,-0.9433705415527958,0.9433705415527958,0.0012758589264558462,216,21946
query_cycle_8_265.graph,Importance,2416537.0,1503780.7628470305,-0.37771250229273107,0.37771250229273107,0.0034927801678238278,216,23477
query_cycle_8_268.graph,Uniform,405896.0,50885.6793871061,-0.8746337007826978,0.8746337007826978,0.0013009540329575022,147,13836
query_cycle_8_268.graph,Importance,405896.0,1174428.8013775789,1.8934229491731351,1.8934229491731351,0.0018461538461538461,147,14625
query_cycle_8_270.graph,Uniform,621940.0,193825.7657,-0.6883529509277423,0.6883529509277423,0.000225,43,40000
query_cycle_8_270.graph,Importance,621940.0,32846.64632785848,-0.9471867924110711,0.9471867924110711,0.00025,43,40000
query_cycle_8_274.graph,Uniform,946374.0,74237.86221681442,-0.9215554714977224,0.9215554714977224,0.0012746972594008922,171,17259
query_cycle_8_274.graph,Importance,946374.0,312724.7156091611,-0.6695548318009992,0.6695548318009992,0.0021945866861741038,171,17771
query_cycle_8_281.graph,Uniform,563140.0,259962.9862133181,-0.5383688137704336,0.5383688137704336,0.0009311266632625476,222,33293
query_cycle_8_281.graph,Importance,563140.0,1648790.3128528611,1.9278515339930766,1.9278515339930766,0.0020639274366564377,222,36823
query_cycle_8_292.graph,Uniform,71096.0,20765.05305,-0.7079293764768763,0.7079293764768763,0.0006,175,40000
query_cycle_8_292.graph,Importance,71096.0,45338.01173326352,-0.36229869847440754,0.36229869847440754,0.001068264721208963,193,38380
query_cycle_8_302.graph,Uniform,2416537.0,1271716.9333907242,-0.47374406707171285,0.47374406707171285,0.0017755299687937157,218,18586
query_cycle_8_302.graph,Importance,2416537.0,554946.7518889759,-0.7703545396205496,0.7703545396205496,0.0041423114097666495,218,21727
query_cycle_8_304.graph,Uniform,34491.0,841.3097,-0.9756078484242267,0.9756078484242267,0.000325,101,40000
query_cycle_8_304.graph,Importance,34491.0,22690.79275834307,-0.34212424231413796,0.34212424231413796,0.000625,92,40000
query_cycle_8_309.graph,Uniform,671120.0,15439.1699,-0.9769949190904756,0.9769949190904756,0.00035,88,40000
query_cycle_8_309.graph,Importance,671120.0,110976.34432774405,-0.8346400877223983,0.8346400877223983,0.00055,82,40000
query_cycle_8_314.graph,Uniform,5151072.0,81760621.48092985,14.87254487627621,14.87254487627621,0.0010787861915367482,199,28736
query_cycle_8_314.graph,Importance,5151072.0,20475898.889265776,2.97507526380252,2.97507526380252,0.002826995819231535,199,25115
query_cycle_8_316.graph,Uniform,946374.0,6009.335127860027,-0.9936501476922864,0.9936501476922864,0.0007341245564664138,172,16346
query_cycle_8_316.graph,Importance,946374.0,526755.0686432583,-0.44339651274944336,0.44339651274944336,0.003217224525150034,172,16163
query_cycle_8_318.graph,Uniform,2416537.0,154566.31096979333,-0.9360380946081963,0.9360380946081963,0.0012264365205541677,215,22015
query_cycle_8_318.graph,Importance,2416537.0,538475.7161312664,-0.777170506335609,0.777170506335609,0.0035820409492408516,215,24567
query_cycle_8_326.graph,Uniform,1237604.0,361377.505595117,-0.7080023128600772,0.7080023128600772,0.004941142275832001,251,6881
query_cycle_8_326.graph,Importance,1237604.0,15507444.717932865,11.530215414569495,11.530215414569495,0.013448947089010795,251,5651
query_cycle_8_329.graph,Uniform,2416537.0,125120.4259870742,-0.948223252535726,0.948223252535726,0.0007055569666694889,214,35433
query_cycle_8_329.graph,Importance,2416537.0,2679835.2589122695,0.10895684978639661,0.10895684978639661,0.001525,211,40000
query_cycle_8_332.graph,Uniform,26294.0,4316.1048,-0.835852103141401,0.835852103141401,7.5e-05,17,40000
query_cycle_8_332.graph,Importance,26294.0,3697.59937497764,-0.8593747860737188,0.8593747860737188,5e-05,9,40000
query_cycle_8_335.graph,Uniform,1237604.0,772812.7580032556,-0.37555732043266216,0.37555732043266216,0.007867607162235486,254,3686
query_cycle_8_335.graph,Importance,1237604.0,1980748.9367385842,0.6004706972008689,0.6004706972008689,0.029115934356802542,254,3778
query_cycle_8_337.graph,Uniform,662563.0,2122432.1328,2.203366521825094,2.203366521825094,0.00025,100,40000
query_cycle_8_337.graph,Importance,662563.0,59628.81646000476,-0.9100027975301899,0.9100027975301899,0.000425,104,40000
query_cycle_8_342.graph,Uniform,946374.0,231667.64987869965,-0.7552049719469262,0.7552049719469262,0.0008248423095584668,167,20610
query_cycle_8_342.graph,Importance,946374.0,41660.380851133435,-0.9559789461131292,0.9559789461131292,0.002246117084826762,167,20925
query_cycle_8_347.graph,Uniform,3414886.0,40569.93815,-0.9881196800859532,0.9881196800859532,0.000325,99,40000
query_cycle_8_347.graph,Importance,3414886.0,138550.01781607862,-0.9594276301416566,0.9594276301416566,0.0009,96,40000
query_cycle_8_355.graph,Uniform,946374.0,171096.34438654667,-0.8192085323703455,0.8192085323703455,0.0015395547134059687,175,16888
query_cycle_8_355.graph,Importance,946374.0,2025442.831847006,1.1402139448537323,1.1402139448537323,0.0024714605154760503,175,16994
query_cycle_8_362.graph,Uniform,563140.0,79257.95698081332,-0.8592570995119982,0.8592570995119982,0.0008446965126101123,216,33148
query_cycle_8_362.graph,Importance,563140.0,917170.0569787977,0.6286714795233825,0.6286714795233825,0.0021150474494197533,216,35933
query_cycle_8_372.graph,Uniform,558704.0,121444.27643630309,-0.7826321693843196,0.7826321693843196,0.0007346818827447715,180,20417
query_cycle_8_372.graph,Importance,558704.0,490139.0818456148,-0.12272136615163874,0.12272136615163874,0.00273048506264054,180,24904
query_cycle_8_375.graph,Uniform,621940.0,44525.334,-0.9284089558478309,0.9284089558478309,0.0002,44,40000
query_cycle_8_375.graph,Importance,621940.0,38208.99016179419,-0.9385648291446212,0.9385648291446212,0.000275,33,40000
query_cycle_8_376.graph,Uniform,946374.0,124882.78591549296,-0.8680407683268001,0.8680407683268001,0.0019114688128772635,170,9940
query_cycle_8_376.graph,Importance,946374.0,59848.45680956654,-0.9367602482638295,0.9367602482638295,0.0026338067914589407,170,10631
query_cycle_8_378.graph,Uniform,666246.0,161044.62638063586,-0.7582805354469132,0.7582805354469132,0.0007385772316782489,192,29787
query_cycle_8_378.graph,Importance,666246.0,131916.179725585,-0.8020007929119499,0.8020007929119499,0.0017265894779605931,192,29538
query_cycle_8_383.graph,Uniform,575815.0,2366291.2316455697,3.109464379437093,3.109464379437093,0.0022603978300180833,182,11060
query_cycle_8_383.graph,Importance,575815.0,335641.75812401227,-0.417101398671427,0.417101398671427,0.006515175591927539,182,12586
query_cycle_8_387.graph,Uniform,249078.0,127376.7691,-0.48860690586884425,0.48860690586884425,0.000375,96,40000
query_cycle_8_387.graph,Importance,249078.0,42524.70903693065,-0.8292715172077396,0.8292715172077396,0.0006,92,40000
query_cycle_8_543.graph,Uniform,946374.0,111746.58998479131,-0.8819213228757432,0.8819213228757432,0.0016335267278769785,171,17753
query_cycle_8_543.graph,Importance,946374.0,94657.36264730601,-0.8999789061752478,0.8999789061752478,0.002772120389228332,171,17676
query_cycle_8_592.graph,Uniform,1818232.0,534033.2179,-0.706289836555511,0.706289836555511,0.00055,149,40000
query_cycle_8_592.graph,Importance,1818232.0,1668399.822411123,-0.08240542328419972,0.08240542328419972,0.001075,139,40000
query_path_4_0.graph,Uniform,3582058.0,3493343.581769437,-0.024766326572758714,0.024766326572758714,0.11796246648793565,622,746
query_path_4_0.graph,Importance,3582058.0,1311694.1373529625,-0.6338154945137788,0.6338154945137788,0.19499341238471674,622,759
query_path_4_1.graph,Uniform,3582058.0,793836.3723554302,-0.7783853939954545,0.7783853939954545,0.10437235543018336,611,709
query_path_4_1.graph,Importance,3582058.0,3596762.191451407,0.004104956271340955,0.004104956271340955,0.17952314165497896,611,713
query_path_4_10.graph,Uniform,491800.0,206710.0,-0.5796868645790972,0.5796868645790972,0.1134453781512605,407,476
query_path_4_10.graph,Importance,491800.0,581387.5983772819,0.18216266445156956,0.18216266445156956,0.12981744421906694,407,493
query_path_4_11.graph,Uniform,130348.0,421829.24181459565,2.2361773238913956,2.2361773238913956,0.01301775147928994,298,2535
query_path_4_11.graph,Importance,130348.0,99069.16144211682,-0.23996408504835656,0.23996408504835656,0.07313829787234043,298,3008
query_path_4_12.graph,Uniform,72824.0,19889.118203309692,-0.7268878638455771,0.7268878638455771,0.01720514841082217,900,7614
query_path_4_12.graph,Importance,72824.0,50594.73185308114,-0.3052464592293593,0.3052464592293593,0.033523086654016446,900,7905
query_path_4_13.graph,Uniform,443091.0,86024.76767676767,-0.8058530467177901,0.8058530467177901,0.059644059644059645,824,2079
query_path_4_13.graph,Importance,443091.0,113102.988631196,-0.7447409479515585,0.7447409479515585,0.05820827648931332,824,2199
query_path_4_14.graph,Uniform,2487494.0,984568.7173913043,-0.6041925257342111,0.6041925257342111,0.14130434782608695,525,644
query_path_4_14.graph,Importance,2487494.0,4821954.1997562265,0.9384787258808369,0.9384787258808369,0.16930379746835442,525,632
query_path_4_15.graph,Uniform,370871.0,225328.56028368796,-0.3924341340150943,0.3924341340150943,0.11524822695035461,387,564
query_path_4_15.graph,Importance,370871.0,311319.1083813356,-0.1605730607641589,0.1605730607641589,0.15332197614991483,387,587
query_path_4_16.graph,Uniform,130348.0,46797.51263116984,-0.6409802019887544,0.6409802019887544,0.012048192771084338,306,2573
query_path_4_16.graph,Importance,130348.0,57336.63295366723,-0.5601264848431335,0.5601264848431335,0.07361405634656165,306,3301
query_path_4_17.graph,Uniform,95992.0,85710.87932303164,-0.10710393237945207,0.10710393237945207,0.024650478292862398,398,2718
query_path_4_17.graph,Importance,95992.0,121431.87305477289,0.26502076271744407,0.26502076271744407,0.044801352493660185,398,2366
query_path_4_18.graph,Uniform,443091.0,6940455.586666667,14.663725028643476,14.663725028643476,0.06095238095238095,816,2100
query_path_4_18.graph,Importance,443091.0,119999.31871494136,-0.7291768085676726,0.7291768085676726,0.06578276389597144,816,1961
query_path_4_19.graph,Uniform,95992.0,105932.59838056681,0.10355652950836328,0.10355652950836328,0.02631578947368421,396,2470
query_path_4_19.graph,Importance,95992.0,59865.15027672911,-0.3763527140102393,0.3763527140102393,0.031714956930305405,396,2554
query_path_4_2.graph,Uniform,72824.0,16232.377758164166,-0.777101261147916,0.777101261147916,0.016895725633589712,904,7931
query_path_4_2.graph,Importance,72824.0,62490.91060448689,-0.14189126380744138,0.14189126380744138,0.03201295465869457,904,8028
query_path_4_20.graph,Uniform,130348.0,141882.0368946964,0.08848648920348902,0.08848648920348902,0.014219830899308224,305,2602
query_path_4_20.graph,Importance,130348.0,132817.34320775777,0.01894423549082283,0.01894423549082283,0.06756343625802506,305,3271
query_path_4_21.graph,Uniform,4396.0,3961.973846441248,-0.09873206404885167,0.09873206404885167,0.018120679992527554,670,5353
query_path_4_21.graph,Importance,4396.0,3064.230862697448,-0.302950213217141,0.302950213217141,0.018226002430133656,670,5761
query_path_4_3.graph,Uniform,2487494.0,2670666.9093799684,0.0736375281226682,0.0736375281226682,0.12082670906200318,523,629
query_path_4_3.graph,Importance,2487494.0,2646505.251817048,0.06392427552269395,0.06392427552269395,0.2032,523,625
query_path_4_9.graph,Uniform,491800.0,619170.5864978903,0.258988585802949,0.258988585802949,0.1371308016877637,406,474
query_path_4_9.graph,Importance,491800.0,477240.05970149254,-0.02960540930969389,0.02960540930969389,0.12153518123667377,406,469
query_path_6_100.graph,Uniform,1373568.0,508705.979858156,-0.629646308112772,0.629646308112772,0.003617021276595745,379,14100
query_path_6_100.graph,Importance,1373568.0,944855.9187610801,-0.3121156588089704,0.3121156588089704,0.008558211256746337,379,12970
query_path_6_101.graph,Uniform,849090.0,277548.0791320996,-0.6731228972993444,0.6731228972993444,0.02169751116783663,369,3134
query_path_6_101.graph,Importance,849090.0,353744.6782786747,-0.5833837658214386,0.5833837658214386,0.026573869028788357,369,3161
query_path_6_102.graph,Uniform,5454872.0,3713666.4979757085,-0.31920189915075764,0.31920189915075764,0.09109311740890688,317,494
query_path_6_102.graph,Importance,5454872.0,2653419.611881188,-0.5135688588327667,0.5135688588327667,0.10297029702970296,317,505
query_path_6_103.graph,Uniform,2573014.0,667089.4980348119,-0.7407361568826241,0.7407361568826241,0.010387422796181921,237,3562
query_path_6_103.graph,Importance,2573014.0,542315.746378792,-0.7892293837581948,0.7892293837581948,0.011205247335337523,237,3659
query_path_6_104.graph,Uniform,2286698.0,4651269.315964859,1.0340549193487112,1.0340549193487112,0.010299909118448955,253,3301
query_path_6_104.graph,Importance,2286698.0,1561467.1363967906,-0.31715200853073267,0.31715200853073267,0.007537077558959397,253,4113
query_path_6_105.graph,Uniform,5454872.0,6745958.859574468,0.2366850880413817,0.2366850880413817,0.09574468085106383,304,470
query_path_6_105.graph,Importance,5454872.0,4452388.973799126,-0.18377755265400797,0.18377755265400797,0.10698689956331878,304,458
query_path_6_107.graph,Uniform,2573014.0,305308.1207032275,-0.8813422232824122,0.8813422232824122,0.008659144581474678,240,3811
query_path_6_107.graph,Importance,2573014.0,799135.8618307427,-0.6894164346440623,0.6894164346440623,0.008347725964306276,240,3474
query_path_6_110.graph,Uniform,2286698.0,671514.4119850188,-0.7063388291829447,0.7063388291829447,0.011235955056179775,250,3738
query_path_6_110.graph,Importance,2286698.0,7404099.511027095,2.2379000248511587,2.2379000248511587,0.01575299306868305,250,3174
query_path_6_113.graph,Uniform,849090.0,1471500.0084162203,0.7330318439932402,0.7330318439932402,0.016832440703902066,362,2614
query_path_6_113.graph,Importance,849090.0,775855.027164071,-0.08625113101782969,0.08625113101782969,0.02064469395146686,362,2761
query_path_6_114.graph,Uniform,3038468.0,181669.4447940075,-0.940210183291709,0.940210183291709,0.010636704119850187,506,6675
query_path_6_114.graph,Importance,3038468.0,4438241.698738733,0.46068403509226796,0.46068403509226796,0.01814797580269893,506,6447
query_path_6_115.graph,Uniform,1276776.0,783422.2510460251,-0.38640587617089833,0.38640587617089833,0.009762900976290097,305,4302
query_path_6_115.graph,Importance,1276776.0,214648.68454782816,-0.8318822686611997,0.8318822686611997,0.009494422027059102,305,4213
query_path_6_116.graph,Uniform,976115.0,446672.79133126937,-0.5423973698475392,0.5423973698475392,0.014860681114551083,471,4845
query_path_6_116.graph,Importance,976115.0,604359.926004506,-0.3808517172623042,0.3808517172623042,0.024355591637913537,471,4927
query_path_6_117.graph,Uniform,3038468.0,1466690.9704128173,-0.517292605874797,0.517292605874797,0.00877090398783768,505,8551
query_path_6_117.graph,Importance,3038468.0,2868204.083888375,-0.056036106390333816,0.056036106390333816,0.025033083370092635,505,9068
query_path_6_118.graph,Uniform,766547.0,271009.3423257135,-0.6464543696267633,0.6464543696267633,0.01178475081641346,504,7043
query_path_6_118.graph,Importance,766547.0,275044.0668999094,-0.6411908638349515,0.6411908638349515,0.018926511903001625,504,6763
query_path_6_119.graph,Uniform,2399067.0,2119301.2507191855,-0.11661439604680258,0.11661439604680258,0.011064394777605666,343,4519
query_path_6_119.graph,Importance,2399067.0,307688.8176318064,-0.8717464674259592,0.8717464674259592,0.01188418323249784,343,4628
