query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,Cost,Trials
query_cycle_4_4.graph,WJ_uniform_multi,2636.0,7667.677155282681,1.908830483794644,1.908830483794644,0.02916346891788181,1000,3909
query_cycle_4_4.graph,WJ_importance_multi,2636.0,6292.35272869954,1.3870837362289608,1.3870837362289608,0.030865746549560855,1001,3985
query_cycle_4_5.graph,WJ_uniform_multi,296183.0,317648.52582159627,0.07247386184080878,0.07247386184080878,0.07847082494969819,1000,1491
query_cycle_4_5.graph,WJ_importance_multi,296183.0,1521290.7927163914,4.13632042594069,4.13632042594069,0.08419023136246787,1001,1556
query_cycle_4_6.graph,WJ_uniform_multi,2636.0,5437.316192830655,1.062714792424376,1.062714792424376,0.032138442521631644,1001,4045
query_cycle_4_6.graph,WJ_importance_multi,2636.0,6151.367807185916,1.333599319873261,1.333599319873261,0.033988316516197555,1001,3766
query_cycle_4_7.graph,WJ_uniform_multi,70146.0,148064.63016459523,1.1108064631567764,1.1108064631567764,0.03728585824655694,1000,2977
query_cycle_4_7.graph,WJ_importance_multi,70146.0,81514.3105497595,0.16206641219398818,0.16206641219398818,0.040354631611128094,1000,3271
query_cycle_4_8.graph,WJ_uniform_multi,93742.0,52723.90532544379,-0.4375636819627937,0.4375636819627937,0.016011138183083886,1002,2873
query_cycle_4_8.graph,WJ_importance_multi,93742.0,88996.29326113188,-0.05062519189763518,0.05062519189763518,0.02409217877094972,1002,2864
query_cycle_4_9.graph,WJ_uniform_multi,900.0,5048.585415912109,4.609539351013455,4.609539351013455,0.006941929252686225,1000,16566
query_cycle_4_9.graph,WJ_importance_multi,900.0,3051.242228011257,2.3902691422347297,2.3902691422347297,0.007691313340227508,1001,15472
query_cycle_6_104.graph,WJ_uniform_multi,81954.0,40322.64811553364,-0.5079843800725573,0.5079843800725573,0.019020781965480803,1002,2839
query_cycle_6_104.graph,WJ_importance_multi,81954.0,51404.29293865609,-0.3727665161107927,0.3727665161107927,0.018175338560228082,1002,2806
query_cycle_6_106.graph,WJ_uniform_multi,81954.0,61215.07621247113,-0.2530556627806924,0.2530556627806924,0.016166281755196306,1000,3031
query_cycle_6_106.graph,WJ_importance_multi,81954.0,1286273.776965929,14.69507012428837,14.69507012428837,0.017857142857142856,1002,3248
query_cycle_6_109.graph,WJ_uniform_multi,81954.0,86701.68707482993,0.057931120809599605,0.057931120809599605,0.014901198574667962,1000,3087
query_cycle_6_109.graph,WJ_importance_multi,81954.0,30443.740878938796,-0.6285264797454816,0.6285264797454816,0.016,1000,3000
query_cycle_6_112.graph,WJ_uniform_multi,3999965.0,2334187.7687626774,-0.41644795172890825,0.41644795172890825,0.0486815415821501,1001,493
