query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_path_4_17.graph,Importance (Post),443091.0,324998.2062437537,-0.2665204072216458,0.2665204072216458,0.128,786
query_path_4_18.graph,Uniform,491800.0,437191.65,-0.11103771858479052,0.11103771858479052,0.119,1490
query_path_4_18.graph,Importance (Post),491800.0,423794.4888945667,-0.13827879443967728,0.13827879443967728,0.2035,1475
query_path_4_19.graph,Uniform,443091.0,118734.224,-0.7320319663455137,0.7320319663455137,0.057,766
query_path_4_19.graph,Importance (Post),443091.0,845243.3655341641,0.9076067117909506,0.9076067117909506,0.125,761
query_path_4_2.graph,Uniform,370871.0,382785.578,0.03212593597234612,0.03212593597234612,0.137,1448
query_path_4_2.graph,Importance (Post),370871.0,473431.5810965547,0.2765397701533814,0.2765397701533814,0.203,1439
query_path_4_4.graph,Uniform,491800.0,567915.054,0.15476830825538837,0.15476830825538837,0.1355,1470
query_path_4_4.graph,Importance (Post),491800.0,448586.4534208982,-0.08786813049837702,0.08786813049837702,0.1975,1455
query_path_4_5.graph,Uniform,1502.0,1343.615,-0.10544940079893475,0.10544940079893475,0.0055,70
query_path_4_5.graph,Importance (Post),1502.0,1345.4926968263974,-0.10419926975606034,0.10419926975606034,0.0075,72
query_path_4_6.graph,Uniform,443091.0,155735.314,-0.6485252149107068,0.6485252149107068,0.0645,809
query_path_4_6.graph,Importance (Post),443091.0,151450.66960048763,-0.6581951120639155,0.6581951120639155,0.1385,781
query_path_4_7.graph,Uniform,4396.0,4899.027,0.1144283439490446,0.1144283439490446,0.0155,258
query_path_4_7.graph,Importance (Post),4396.0,3569.3784330162653,-0.18803948293533548,0.18803948293533548,0.03,252
query_path_4_8.graph,Uniform,370871.0,316100.932,-0.1476795651318114,0.1476795651318114,0.127,1450
query_path_4_8.graph,Importance (Post),370871.0,347160.94249784254,-0.06393074007446649,0.06393074007446649,0.198,1421
query_path_4_9.graph,Uniform,370871.0,390330.493,0.05246970779597223,0.05246970779597223,0.136,1478
query_path_4_9.graph,Importance (Post),370871.0,308536.8149525226,-0.16807511249862467,0.16807511249862467,0.1815,1444
query_path_6_0.graph,Uniform,5454872.0,1251153.617,-0.7706355681673189,0.7706355681673189,0.0615,734
query_path_6_0.graph,Importance (Post),5454872.0,2170367.9182512425,-0.6021230345549369,0.6021230345549369,0.122,749
query_path_6_1.graph,Uniform,111915.0,7234.85,-0.9353540633516507,0.9353540633516507,0.0015,49
query_path_6_1.graph,Importance (Post),111915.0,14813.253358984186,-0.8676383562615897,0.8676383562615897,0.006,43
query_path_6_10.graph,Uniform,557230.0,109101.538,-0.8042073506451555,0.8042073506451555,0.0015,33
