query_basename,method,T_true,T_hat,Qerror,AbsRelativeError,SuccessRate,n_post
query_cycle_6_160.graph,Uniform,5454872.0,5383906.647,-0.013009535879118725,0.013009535879118725,0.06035,4947
query_cycle_6_160.graph,Importance (Post),5454872.0,4871743.9639383005,-0.10690040684028873,0.10690040684028873,0.1252,4416
query_cycle_6_161.graph,Uniform,2802.0,409.2858,-0.853930835117773,0.853930835117773,0.00025,49
query_cycle_6_161.graph,Importance (Post),2802.0,2799.5264426578865,-0.0008827827773424371,0.0008827827773424371,0.00095,57
query_cycle_6_164.graph,Uniform,42698.0,34522.6371,-0.19146945758583542,0.19146945758583542,0.00395,507
query_cycle_6_164.graph,Importance (Post),42698.0,44501.24062675732,0.042232437743156985,0.042232437743156985,0.0078,504
query_cycle_6_165.graph,Uniform,1358928.0,771485.1291,-0.4322840289551764,0.4322840289551764,0.0089,1117
query_cycle_6_165.graph,Importance (Post),1358928.0,5837427.977527447,3.295612407373641,3.295612407373641,0.01905,1013
query_cycle_6_167.graph,Uniform,116775.0,10197.0043,-0.9126781905373582,0.9126781905373582,0.00215,323
query_cycle_6_167.graph,Importance (Post),116775.0,38340.53456224757,-0.6716717228666447,0.6716717228666447,0.00455,322
query_cycle_6_172.graph,Uniform,210455.0,6585.7806,-0.968706941626476,0.968706941626476,0.0004,115
query_cycle_6_172.graph,Importance (Post),210455.0,388693.2967903675,0.846918803498931,0.846918803498931,0.0019,117
query_cycle_6_173.graph,Uniform,42698.0,46143.8733,0.08070338891751369,0.08070338891751369,0.0041,463
query_cycle_6_173.graph,Importance (Post),42698.0,40564.83830459542,-0.04995928838363816,0.04995928838363816,0.0065,471
query_cycle_6_174.graph,Uniform,5454872.0,4613196.6804,-0.1542979046254431,0.1542979046254431,0.0966,6728
query_cycle_6_174.graph,Importance (Post),5454872.0,4772210.826993418,-0.12514705624743935,0.12514705624743935,0.14865,6511
query_cycle_6_175.graph,Uniform,1276776.0,1472283.7066,0.15312608210054068,0.15312608210054068,0.01095,1145
query_cycle_6_175.graph,Importance (Post),1276776.0,756245.8267334546,-0.4076910697464124,0.4076910697464124,0.0212,1094
query_cycle_6_176.graph,Uniform,116775.0,36887.3995,-0.6841156112181546,0.6841156112181546,0.0035,525
query_cycle_6_176.graph,Importance (Post),116775.0,84615.2514110845,-0.27539926002068515,0.27539926002068515,0.0067,519
query_cycle_6_178.graph,Uniform,2286698.0,2545292.5785,0.11308645850916904,0.11308645850916904,0.0101,1130
query_cycle_6_178.graph,Importance (Post),2286698.0,8149964.154726343,2.5640754287301353,2.5640754287301353,0.022,1039
query_cycle_6_180.graph,Uniform,65084.0,39423.7312,-0.39426385594001595,0.39426385594001595,0.00025,64
query_cycle_6_180.graph,Importance (Post),65084.0,41919.0648269426,-0.35592365516958696,0.35592365516958696,0.00125,78
query_cycle_6_181.graph,Uniform,210455.0,46968.6462,-0.776823329452852,0.776823329452852,0.00055,114
query_cycle_6_181.graph,Importance (Post),210455.0,30045.153397157836,-0.8572371604516033,0.8572371604516033,0.0019,109
query_cycle_6_182.graph,Uniform,5454872.0,6032467.5404,0.10588617668755569,0.10588617668755569,0.05905,4918
query_cycle_6_182.graph,Importance (Post),5454872.0,13134714.494753178,1.407886838546015,1.407886838546015,0.1212,4374
query_cycle_6_184.graph,Uniform,4902.0,2323.4204,-0.5260260301917584,0.5260260301917584,0.0009,157
query_cycle_6_184.graph,Importance (Post),4902.0,1796.3942979443625,-0.6335384949113907,0.6335384949113907,0.0015,161
query_cycle_6_186.graph,Uniform,1163.0,10833.6711,8.315280395528804,8.315280395528804,0.00085,107
query_cycle_6_186.graph,Importance (Post),1163.0,2953.3601670479343,1.5394326457849823,1.5394326457849823,0.0008,90
query_cycle_6_187.graph,Uniform,116775.0,134741.8464,0.15385867180475282,0.15385867180475282,0.00275,334
query_cycle_6_187.graph,Importance (Post),116775.0,58717.03388282466,-0.497178044248986,0.497178044248986,0.0043,301
query_cycle_6_190.graph,Uniform,5454872.0,4374721.5547,-0.19801572709680443,0.19801572709680443,0.0944,6726
query_cycle_6_190.graph,Importance (Post),5454872.0,4035934.310785645,-0.2601230036588127,0.2601230036588127,0.14555,6430
query_cycle_6_202.graph,Uniform,557230.0,55447.8904,-0.9004937092403497,0.9004937092403497,0.00165,252
query_cycle_6_202.graph,Importance (Post),557230.0,588284.8191553674,0.05573070214340118,0.05573070214340118,0.0049,251
query_cycle_6_39.graph,Uniform,5454872.0,5388824.2779,-0.012108024184618796,0.012108024184618796,0.0455,4029
query_cycle_6_39.graph,Importance (Post),5454872.0,4797229.78270133,-0.12056052228148886,0.12056052228148886,0.0945,3690
query_cycle_6_45.graph,Uniform,2286698.0,1362047.3307,-0.4043606411078332,0.4043606411078332,0.00835,939
query_cycle_6_45.graph,Importance (Post),2286698.0,1549671.1221431997,-0.32231054466169134,0.32231054466169134,0.0173,869
query_cycle_6_54.graph,Uniform,2286698.0,20980229.8916,8.17490192915724,8.17490192915724,0.0093,1130
query_cycle_6_54.graph,Importance (Post),2286698.0,567264.6697772928,-0.7519284707568324,0.7519284707568324,0.0185,1007
query_cycle_6_58.graph,Uniform,849090.0,548207.3226,-0.35435899303960716,0.35435899303960716,0.0177,1784
query_cycle_6_58.graph,Importance (Post),849090.0,661744.6068172866,-0.22064256225219167,0.22064256225219167,0.0276,1710
query_cycle_6_59.graph,Uniform,116775.0,141569.4777,0.21232693384714185,0.21232693384714185,0.00435,563
query_cycle_6_59.graph,Importance (Post),116775.0,126595.68437241728,0.08409920250410859,0.08409920250410859,0.00615,545
query_cycle_6_60.graph,Uniform,1030376.0,548426.4352,-0.4677414504996235,0.4677414504996235,0.00145,202
query_cycle_6_60.graph,Importance (Post),1030376.0,816068.2962837828,-0.20798980538775863,0.20798980538775863,0.0024,190
query_cycle_6_61.graph,Uniform,557230.0,712678.2012,0.2789659587602965,0.2789659587602965,0.0018,256
query_cycle_6_61.graph,Importance (Post),557230.0,364634.03431330895,-0.34563100638280614,0.34563100638280614,0.00305,215
query_cycle_6_62.graph,Uniform,345968.0,402102.6275,0.16225381393654906,0.16225381393654906,0.0023,313
query_cycle_6_62.graph,Importance (Post),345968.0,316214.0039720977,-0.08600216213031926,0.08600216213031926,0.0047,293
query_cycle_6_63.graph,Uniform,307008.0,161674.0923,-0.473388014970294,0.473388014970294,0.0053,648
query_cycle_6_63.graph,Importance (Post),307008.0,186643.34507086602,-0.39205706342875096,0.39205706342875096,0.00895,618
