dataset_name,query_basename,total_rows,core_instances
dataset_test2,query_cycle_4_32.graph,1424,1424
dataset_test2,query_cycle_4_33.graph,1834,1834
dataset_test2,query_cycle_4_34.graph,1510,1510
dataset_test2,query_cycle_4_35.graph,1069,1069
dataset_test2,query_cycle_4_37.graph,1475,1475
dataset_test2,query_cycle_4_38.graph,1518,1518
dataset_test2,query_cycle_4_4.graph,301,301
dataset_test2,query_cycle_4_40.graph,1424,1424
dataset_test2,query_cycle_4_408.graph,1417,1417
dataset_test2,query_cycle_4_409.graph,2241,2241
dataset_test2,query_cycle_4_410.graph,2289,2289
dataset_test2,query_cycle_4_411.graph,1441,1441
dataset_test2,query_cycle_4_412.graph,2472,2472
dataset_test2,query_cycle_4_413.graph,2477,2477
dataset_test2,query_cycle_4_414.graph,2282,2282
dataset_test2,query_cycle_4_415.graph,2004,2004
dataset_test2,query_cycle_4_416.graph,4272,4272
dataset_test2,query_cycle_4_417.graph,2238,2238
dataset_test2,query_cycle_4_418.graph,4279,4279
dataset_test2,query_cycle_4_419.graph,1819,1819
dataset_test2,query_cycle_4_42.graph,1441,1441
dataset_test2,query_cycle_4_421.graph,2537,2537
dataset_test2,query_cycle_4_422.graph,2511,2511
dataset_test2,query_cycle_4_423.graph,3447,3447
dataset_test2,query_cycle_4_424.graph,3463,3463
dataset_test2,query_cycle_4_425.graph,1467,1467
dataset_test2,query_cycle_4_426.graph,2303,2303
dataset_test2,query_cycle_4_427.graph,2577,2577
dataset_test2,query_cycle_4_428.graph,2495,2495
dataset_test2,query_cycle_4_429.graph,2229,2229
dataset_test2,query_cycle_4_43.graph,1510,1510
dataset_test2,query_cycle_4_430.graph,2570,2570
dataset_test2,query_cycle_4_431.graph,2304,2304
dataset_test2,query_cycle_4_432.graph,1069,1069
dataset_test2,query_cycle_4_433.graph,2474,2474
dataset_test2,query_cycle_4_434.graph,1424,1424
dataset_test2,query_cycle_4_435.graph,2451,2451
dataset_test2,query_cycle_4_436.graph,3539,3539
dataset_test2,query_cycle_4_437.graph,3358,3358
dataset_test2,query_cycle_4_438.graph,2535,2535
dataset_test2,query_cycle_4_439.graph,1359,1359
dataset_test2,query_cycle_4_44.graph,1518,1518
dataset_test2,query_cycle_4_441.graph,4163,4163
dataset_test2,query_cycle_4_442.graph,3441,3441
dataset_test2,query_cycle_4_443.graph,4380,4380
dataset_test2,query_cycle_4_444.graph,3509,3509
dataset_test2,query_cycle_4_445.graph,3533,3533
dataset_test2,query_cycle_4_446.graph,2425,2425
dataset_test2,query_cycle_4_447.graph,3481,3481
dataset_test2,query_cycle_4_448.graph,3465,3465
dataset_test2,query_cycle_4_45.graph,1069,1069
dataset_test2,query_cycle_4_46.graph,1069,1069
dataset_test2,query_cycle_4_47.graph,1506,1506
dataset_test2,query_cycle_4_5.graph,301,301
dataset_test2,query_cycle_4_6.graph,536,536
dataset_test2,query_cycle_4_7.graph,1595,1595
dataset_test2,query_cycle_4_8.graph,496,496
dataset_test2,query_cycle_4_9.graph,1000,1000
dataset_test2,query_cycle_6_199.graph,531,531
dataset_test2,query_cycle_6_202.graph,2299,2299
dataset_test2,query_cycle_6_206.graph,409,409
dataset_test2,query_cycle_6_207.graph,2234,2234
dataset_test2,query_cycle_6_209.graph,1590,1590
dataset_test2,query_cycle_6_212.graph,794,794
dataset_test2,query_cycle_6_213.graph,501,501
dataset_test2,query_cycle_6_215.graph,964,964
dataset_test2,query_cycle_6_217.graph,630,630
dataset_test2,query_cycle_6_218.graph,2239,2239
dataset_test2,query_cycle_6_219.graph,352,352
dataset_test2,query_cycle_6_220.graph,2276,2276
dataset_test2,query_cycle_6_221.graph,899,899
dataset_test2,query_cycle_6_222.graph,1053,1053
dataset_test2,query_cycle_6_223.graph,1933,1933
dataset_test2,query_cycle_6_224.graph,641,641
dataset_test2,query_cycle_6_225.graph,2028,2028
dataset_test2,query_cycle_6_227.graph,432,432
dataset_test2,query_cycle_6_230.graph,661,661
dataset_test2,query_cycle_6_231.graph,461,461
dataset_test2,query_cycle_6_232.graph,2198,2198
dataset_test2,query_cycle_6_235.graph,1723,1723
dataset_test2,query_cycle_6_236.graph,2067,2067
dataset_test2,query_cycle_6_239.graph,387,387
dataset_test2,query_cycle_6_240.graph,405,405
dataset_test2,query_cycle_6_242.graph,2020,2020
dataset_test2,query_cycle_6_317.graph,609,609
dataset_test2,query_cycle_6_318.graph,568,568
dataset_test2,query_cycle_6_319.graph,480,480
dataset_test2,query_cycle_6_320.graph,1540,1540
dataset_test2,query_cycle_6_321.graph,315,315
dataset_test2,query_cycle_6_322.graph,329,329
dataset_test2,query_cycle_6_323.graph,514,514
dataset_test2,query_cycle_6_324.graph,554,554
dataset_test2,query_cycle_6_327.graph,352,352
dataset_test2,query_cycle_6_328.graph,328,328
dataset_test2,query_cycle_6_330.graph,604,604
