query_index,query_basename,gt_match_col,T_true,method,T_hat,Qerror,n_post,n_comment
21,query_cycle_6_118.graph,u1,626370.0,MAB,477509.9845380725,0.23765508479321729,97,0
21,query_cycle_6_118.graph,u1,626370.0,FOIS_nrs,655115.6277887292,0.045892408302966536,157,0
21,query_cycle_6_118.graph,u1,626370.0,FOIS_rs,682236.2418886609,0.08919048148643922,157,0
21,query_cycle_6_118.graph,u1,626370.0,POSS,676425.277754577,0.07991327450959815,298,0
22,query_cycle_6_119.graph,u2,976115.0,UN,825809.2999999999,0.15398359824405944,477,0
22,query_cycle_6_119.graph,u2,976115.0,PO,1079218.3466581053,0.10562622914114142,477,0
22,query_cycle_6_119.graph,u2,976115.0,MAB,913826.3976595182,0.0638127703605434,271,0
22,query_cycle_6_119.graph,u2,976115.0,FOIS_nrs,999939.7038164628,0.02440768128392943,477,0
22,query_cycle_6_119.graph,u2,976115.0,FOIS_rs,963183.279787813,0.0132481523306035,477,0
22,query_cycle_6_119.graph,u2,976115.0,POSS,922517.7389057539,0.05490875674920072,777,0
23,query_cycle_6_120.graph,u2,336746.0,UN,410116.4907287671,0.21788080846919378,365,0
23,query_cycle_6_120.graph,u2,336746.0,PO,368584.10849923326,0.09454635986539785,365,0
23,query_cycle_6_120.graph,u2,336746.0,MAB,328971.87497403554,0.023086020401027654,220,0
23,query_cycle_6_120.graph,u2,336746.0,FOIS_nrs,425372.87373950315,0.2631861217044988,365,0
23,query_cycle_6_120.graph,u2,336746.0,FOIS_rs,320847.24510375864,0.04721289902847059,365,0
23,query_cycle_6_120.graph,u2,336746.0,POSS,352286.37257710064,0.046148647874364186,696,0
24,query_cycle_6_121.graph,u2,116775.0,UN,163061.02168625337,0.39636927155858165,371,0
24,query_cycle_6_121.graph,u2,116775.0,PO,100392.72536016325,0.14028922834371008,371,0
24,query_cycle_6_121.graph,u2,116775.0,MAB,95474.16708563222,0.1824091878772664,228,0
24,query_cycle_6_121.graph,u2,116775.0,FOIS_nrs,110827.02717458563,0.05093532712836112,371,0
24,query_cycle_6_121.graph,u2,116775.0,FOIS_rs,121114.8950298367,0.03716459027905543,371,0
