comments,body,bodywithurls,createdAt,createdAtformatted,creator,datatype,depth,depthRaw,followers,following,hashtags,id,lastseents,links,media,posts,sensitive,shareLink,upvotes,urls,username,verified,article,impressions,preview,reposts,state,parent,color,commentDepth,controversy,downvotes,post,score,isPrimary,conversation,replyingTo
0,The democrats are part of crimes against our government and need to go to jail!!!,"The democrats are part of crimes against our government and need to go to jail!!!
",20201110141100.0,2020-11-10 14:11:00 UTC,3c527f05771e4c95a0a0f34f80626077,comments,1.0,1.0,878.0,357.0,[],2bf6ebf7ab2f49caa76e1627c0e54c51,2021-01-09T20:05:36.295307+00:00,[],6.0,3700.0,False,https://parler.com/comment/2bf6ebf7ab2f49caa76e1627c0e54c51,0.0,[],Fredrickjward,False,,,,,,b12fec62ba334a5cac87a8908d480368,#a60303,0.0,0.0,0.0,b12fec62ba334a5cac87a8908d480368,0.0,True,,
0,Excellent!! Definitely make more!,"Excellent!! Definitely make more!
",20201124050136.0,2020-11-24 05:01:36 UTC,60421d26b88d460ba3c5ced39b41c4ff,comments,1.0,1.0,222.0,101.0,[],aff33b6dfcc140eea45db38e1eaa4394,2020-12-27T09:43:40.916627+00:00,[],7.0,174.0,False,https://parler.com/comment/aff33b6dfcc140eea45db38e1eaa4394,2.0,[],RitaOlsen,False,,,,,,a01d283452f743e59c67c331af728a3a,#a60303,0.0,0.0,0.0,a01d283452f743e59c67c331af728a3a,2.0,True,,
0,"Oh New York, New York!","Oh New York, New York!
https://image-cdn.parler.com/z/2/z29O94I0Bo.jpeg",20200817201618.0,2020-08-17 20:16:18 UTC,157257e58182465d82374cac7a1f7a3f,comments,1.0,1.0,134.0,59.0,[],b02e7c214769461b9b39e287f89a2b83,2020-12-09T00:50:53.156340+00:00,['0Ul6g'],7.0,360.0,False,https://parler.com/comment/b02e7c214769461b9b39e287f89a2b83,2.0,"[{'createdAt': '20200817201501', 'domain': 'image-cdn.parler.com', 'id': '0Ul6g', 'long': 'https://image-cdn.parler.com/z/2/z29O94I0Bo.jpeg', 'metadata': {'length': 458606, 'mimeType': 'image/jpeg', 'site': 'image-cdn.parler.com'}, 'modified': 'image-cdn.parler.com/z/2/z29O94I0Bo.jpeg', 'short': 'https://api.parler.com/l/0Ul6g', 'state': 'VALID'}]",Cseg,False,,,,,,d40061a5dc7240989e186cf617598b2b,#a60303,0.0,0.0,0.0,d40061a5dc7240989e186cf617598b2b,2.0,True,,
0,Good I hope Rashida Tahib gets thrown out 🤣,"Good I hope Rashida Tahib gets thrown out 🤣
",20201104033535.0,2020-11-04 03:35:35 UTC,68b7fe5f12834471bc9402738bff9c46,comments,1.0,1.0,18000.0,24000.0,[],4734925f0201431a8ed5de3f014bc5b4,2020-12-26T21:27:26.675520+00:00,[],255.0,3600.0,False,https://parler.com/comment/4734925f0201431a8ed5de3f014bc5b4,6.0,[],Kissmygrits,False,,,,,,4c10499db1a04ef18f7027afdfdabec4,#a60303,0.0,0.0,0,4c10499db1a04ef18f7027afdfdabec4,6.0,True,,
0,"Well, that is the First true word you have spoken in almost 4 yrs!!!! But the next part is wrong! If you are still President then You need to act like it!!! @realDonaldJTrumpUSA","Well, that is the First true word you have spoken in almost 4 yrs!!!! But the next part is wrong! If you are still President then You need to act like it!!! @realDonaldJTrumpUSA
",20201121211424.0,2020-11-21 21:14:24 UTC,feb3e7057fa44be0a33315e6f86da66c,comments,1.0,1.0,66.0,31.0,[],27c253d4b14443fba7c7dfe5b3a2f95b,2020-12-27T07:14:50.441072+00:00,[],0.0,241.0,False,https://parler.com/comment/27c253d4b14443fba7c7dfe5b3a2f95b,1.0,[],Bgirlll1958,False,,,,,,777b4b84026f4b9486330756d1ea5d6a,#a60303,0.0,2.0,1,777b4b84026f4b9486330756d1ea5d6a,0.0,True,,
0,Is his security detail BLM or the KKK (the democrat party)?,"Is his security detail BLM or the KKK (the democrat party)?
",20201113230847.0,2020-11-13 23:08:47 UTC,5f3fff87a5a94a4dbbb4b85bdf4efce7,comments,1.0,1.0,38.0,69.0,[],b7fa6de5d71b4b23b28c1f91bdc1bbf4,2021-01-06T08:38:52.451477+00:00,[],3.0,192.0,False,https://parler.com/comment/b7fa6de5d71b4b23b28c1f91bdc1bbf4,0.0,[],Vladdrac1608,False,,,,,,ebd5ae8f76c14c75a4057803105bf81a,#a60303,0.0,0.0,0.0,ebd5ae8f76c14c75a4057803105bf81a,0.0,True,,
0,SHOULD!!!!!!!!!!! lose her seat.,"SHOULD!!!!!!!!!!! lose her seat.
",20200926003237.0,2020-09-26 00:32:37 UTC,215a329ae86e410797eb12b2a3af56b9,comments,1.0,1.0,11000.0,14000.0,[],bc4ab107c4f949bf94a1c03871bf72d2,2021-01-08T22:18:31.422767+00:00,[],1.0,7100.0,False,https://parler.com/comment/bc4ab107c4f949bf94a1c03871bf72d2,1.0,[],chuckskeet,False,,,,,,6434a442f4b3447b98500546b358e29e,#a60303,0.0,0.0,0.0,6434a442f4b3447b98500546b358e29e,1.0,True,,
0,@ItsLittleRach Little harder to figure out! Lol,"@ItsLittleRach Little harder to figure out! Lol
",20201109144049.0,2020-11-09 14:40:49 UTC,8fba12c2e1784c00839d48af4702fa24,comments,3.0,3.0,0.0,6.0,[],15bba744417742a19a024f97dfc22fb7,2021-01-10T03:01:53.403181+00:00,[],0.0,1.0,False,https://parler.com/comment/15bba744417742a19a024f97dfc22fb7,1.0,[],Duz1212,False,,,,,,3725c816ca6a4752afade7203b303fa1,#0000bc,1.0,0.0,0.0,92198e647ce54715bd93ce2f300edbdc,1.0,,abe1b4cbb4104e40b5e027875af7a5dd,77ffa4037c5d4f248d55578ed5d8f267
-1,The constipated news network still at it,"The constipated news network still at it
",20200903190159.0,2020-09-03 19:01:59 UTC,92c6f1986edb4f758a4a3eac914beb27,comments,1.0,1.0,24.0,28.0,[],775db9738d1442f4aaeba5a9774d1902,2021-01-10T05:41:30.099589+00:00,[],0.0,0.0,False,https://parler.com/comment/775db9738d1442f4aaeba5a9774d1902,0.0,[],Dkazorian,False,,,,,,1322d6ec08a3405bbea8e473aea0803b,#a60303,0.0,0.0,0.0,1322d6ec08a3405bbea8e473aea0803b,0.0,True,,
0,Typical member of the Democrat Party Crime Organization,"Typical member of the Democrat Party Crime Organization
",20201119072024.0,2020-11-19 07:20:24 UTC,f0780036e4394ef49c0f559da18ffeb4,comments,1.0,1.0,990.0,299.0,[],f31376a441f84960ba2485da8f1fc0f2,2021-01-09T08:41:46.900515+00:00,[],64.0,1100.0,False,https://parler.com/comment/f31376a441f84960ba2485da8f1fc0f2,1.0,[],Robbimillson,False,,,,,,ab472b6e5b244240b9f8cc9cbae73329,#a60303,0.0,0.0,0.0,ab472b6e5b244240b9f8cc9cbae73329,1.0,True,,
