id,comments,body,createdAt,creator,score,sensitive,upvotes,username,post
756d2d5588d84f8ebe306288d8fccd4d,2,"It’s not listed yet but They will be in Milwaukee Saturday. It was to coincide with the DNC but that has been cancelled but not Walkaway rally. Around a Thousand showed up in LA yesterday. Wisconsin, can you all go out Saturday? I’ll post details once they have the posters ready this week. 
Rescue America” is about being heard, for support of Police and support of Country.
@BrandonStraka @realwalkaway @EricTrump @LaraleaTrump @TeamTrump #silentmajority #walkaway #walkawaycampaign",20200810055011.0,67ba94094fed4cdf92c1896d985984d7,,False,3.0,Stardreme,
d650d1fe3424413aa5c05f212a15f32a,2,This needed to happen a long time ago. Trump doing more good by ending federal protect for wolves.,20201101122459.0,b3f55b780c14488a9bd8c567c6377fee,,False,3.0,Decentralizeftw,
21e6e3b4e1534719acb76b82da448c8f,2,"👹🥊
Voteall🔴on3inperson
#fightback
#wwg1wga 
#trump2020 
#Votered 
#1a #2a 
#womenfortrump 
#studentsfortrump
#backtheblue
#kag2020 
#kag
#maga 
#maga2020 
#childtrafficking 
#pedowood 
#trusttheplan #wearethenewsnow 
#pedovores 
#treason 
#cannibals 
#plandemic 
#obamagate 
#adrenochrome 
#pizzagate
#freedom
#walkaway
@davidwilliams128
#fourmoreyears 
#Godwins
@dzperry
@teamtrump
#thesquad
#operationundergroundrescue
@theproudboys
#humantrafficking #censorship #soros #blm 
#antifa #sunrisemovement #socialism #savethechildren 
#trumptrain 
#deepstate
#gop
@blocked
@Dxrinc
#patriotsunited
#wethepeople 
#americafirst 
#1776
@QAnon76 
@DineshDSouza 
#trump
#qanonpatriots 
#potus 
#themoreyouknow 
#cult45
#wwg1wgaworldwide 
#bikersfortrump 
#qanonworldwide 
@RudyG 
#unitedwestand 
#redpill 
@Packergirl
#followthewhiterabbit 
#arrestgeorgesoros
#wakeupamerica 
#q 
#newsmaxtv 
@DiamondAndSilk 
#qarmy
#weloveyou 
#thesepeoplearesick 
#epstein
#littlestjames
#stevebannon
#laptopfromhell",20201031145401.0,d8351de608ea4442a8feeb58c4bd191a,,False,4.0,Reeseysnotsorry,
5edc542c6ede44e69f3cfb240cb97974,2,"Leftists, media lose it after Trump exits Walter Reed, even suggest criminally charging Trump",20201005141547.0,75d997177c0944cba9d1e8c701ef5a4b,,False,5.0,ViolentVixen29,
89f49a93dfad4372b4050b54ca98031c,2,"I'm done. SICK of social media and their persistent bullshit. They defend fucking pedophiles... real ones... that admit it and share derogatory comments and sick pictures and videos and Twitter does nothing. They allow Biden supporters to trend a hashtag that our president is a pedo..which is complete projection from the party who sympathizes with them and attempts to normalize it. Trump has signed executive orders and declared all out war on pedos and traffickers with more arrest under this administration than EVER!!. All while media hides that fact and demeans and critisizes groups of people for doing actual research and working together to end trafficking and pedophilia. Those who speak against it are the ones censored!!! It's maddening! It's SICK! AND I'M DONE! 
Twitter wants me to delete my tweet. I refuse.",20200915184941.0,dadf284dedab477ab9211301aee77a7b,,False,2.0,LindaTynesJohnson,
9f53d80c72b94ad79916740fc9d72ac4,2,"I blame this kind of 💩 on #OdiousObama.😡😡😡 He was following Alinsky to the letter in creating a racial divide. Obama needs to pay for his crimes against America. You can’t organize a deep state coup against President Trump and get away with it!

❌LOCK. HIM. UP.❌

#TRUMP2020 Landslide🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸",20190707151916.0,b8468c2bfe0c4987976f7206722f2fd4,,False,6.0,PJH,
b96dc0d149c241bf85029698e90f132d,2,#foryou #foryoupage #blm #alllivesmatter #trump #trump2020 #community #opinion #news #wakeup,20201219161605.0,b2e76e743fec40778818c464b679033e,,False,0.0,JshiestyDeity,
339c2bbc759b4d5eaf3984a0218ee13c,2,#parler #parlerksa #trump2020 #meme,20200828152230.0,20039929947b40788943b6d52f658e7d,,False,145.0,tjf2020,
f6e79bcd498b4063ba7240c173aa0466,2,"Wtf is this BS. Trump and truth go hand in hand. Trump exposed the globalist scum.

#trump2020",20201224054708.0,1209cb65b3e24cd9a43eb28138d4e2a6,,False,4.0,Bluecollarsinner,
8b76434722a1499f854b2bb00b98ba89,2,#godblessamerica #1 #treason #proudboys #donaldtrump #1776 #arrestschiff #electionfraud2020 #freshamericannews #joebiden,20201215040002.0,6bc964a41c5b41c4a33b330d2aa36eb0,,False,2.0,IsabellPollich79,
f837e728963e459484af32541c585cef,2,"#parler #wwg1wga #maga #kag #newuser #news #trump2020 #trump #america #qanon #qarmy #areqawake #patriots #keepamericagreat #thegreatawakening #stopcensorship #freedom #freespeech #teamtrump #republican #antilgtb #whitelivesmatter #police #bluelivesmatter #christian FOLLOW,ECHO AND VOTE PLEASE",20200913204513.0,3dc1a71aebdc4cf3a9ffff266e126602,,False,26.0,patriotsfl,
f090681146d64b2caa45484e4da5044f,2,Fact Check: Joe Biden Claims We Have Coronavirus Because of Trump,20200320123118.0,cd0cc35b5d6344528a871ef229a387fc,,False,2.0,Vincetraino,
9beedb5f0f8144ff9d6fda5019f6c982,2,@parscale We want President Trump @parler you are his Campaign Manager .. put the bug in his ear. his soldiers are here! We are ready to battle for his re-election #trump2020,20190606152301.0,b12f42b40a664955a6f387ef82e86eff,,False,9.0,Shipwrekd101,
f643f8bcf41344f28dedf96eae58281b,2,"#parler #wwg1wga #maga #kag #newuser #news #trump2020 #trump #america #qanon #qarmy #areqawake #patriots #keepamericagreat #thegreatawakening #stopcensorship #freedom #freespeech #teamtrump #republican #antilgtb #whitelivesmatter #police #bluelivesmatter #christian FOLLOW,ECHO AND VOTE PLEASE",20200812001715.0,3dc1a71aebdc4cf3a9ffff266e126602,,False,39.0,patriotsfl,
d49a7b3d3ca348309a435571d0bf34ae,2,"Proof hes doing something right

BREAKING: Representative of Iranian Regime’s Supreme Leader Claims IRGS Will Kill President Trump",20200921121408.0,2bbc35018dfb432b93c1ae50a3a43683,,False,2.0,Catmandu50,
561ec056a55f41998698930f3e8ec983,2,"#parler #wwg1wga #maga #kag #newuser #news #trump2020 #trump #america #qanon #qarmy #areqawake #patriots #keepamericagreat #thegreatawakening #stopcensorship #freedom #freespeech #teamtrump #republican #antilgtb #whitelivesmatter #police #bluelivesmatter #christian FOLLOW,ECHO AND VOTE PLEASE
I",20201125212157.0,3dc1a71aebdc4cf3a9ffff266e126602,,False,36.0,patriotsfl,
a57d82115b0c4f0496336d70cda3bb13,2,Joe Biden Suggests Michigan Voters Chose Trump Partly Because of Racism,20200911142021.0,390e312a055dee172249e628bc2ddc22,,False,1.0,Lloyd4man,
9204f36f9cdc4c9cb9ef19571eb94f3d,2,Do you think #trump will announce at his #trumprallytulsa that he will be joining Parler🤔🥳😎 #trumponparler #maga #maga2020 #kag #kag2020 #trump2020landslide #bestpresidentever45 #thegreatawakening #wakeupamerica #buildthewall #boogaloo #looting #patriotsunited #sorosfundedriots #riots2020 #antifaterrorists #blmterrorists #getoffyourfuckingknees #growapair #2ashallnotbeinfringed #gunssavelives #bettertohaveitandnotneedit #armedcitizen #armedamerican #armyourself #wethepeople #twexit #prosecutedeepstate #deepstatecorruption #coronavirus #covid19 #wwg1wga #darktolight #qanon #obamagate #obamaworstpresidentever #obamamostcorruptpotus #quidprojoe #bikersfortrump #copsfortrump #vetsfortrump #codeofvets #unitedwestand #backtheblue #backthebadge #bluelivesmatter #blackriflesmatter #justicefortrump #usa #americafirst #fuckalldemocrats #fuckantifa #fuckislam #fuckobama #fuckkapernick #fucksoros #bansharialaw #godblessamerica #godblesspresidenttrump #godblessourmilitary #winning,20200620130009.0,7c727bd5ec584ccfbb357325457567e9,,False,57.0,Toxicwhitemale1,
